compound_id,clogp,intrinsic_fit,tpsa,offtarget_idio,metab_idio,true_pic50_target,true_pic50_offtarget,mw,heavy_atom_count,clint_ul_min_mg,solubility_um,papp_1e6cm_s
C001,3.148,0.6357,43.58,0.4558,4.2574,7.6683,7.487,494.92,36,43.07,98.87,18.29
C002,4.946,0.4779,79.83,0.494,5.6778,8.0233,8.5144,526.66,39,59.68,61.41,10.09
C003,3.849,-0.5999,76.33,0.1668,-2.8587,7.1024,7.5839,490.51,36,37.39,136.33,9.48
C004,4.856,-1.8581,60.99,0.6875,-1.6191,6.5991,8.6581,518.62,38,50.8,48.67,13.13
C005,4.402,-0.3581,40.7,-0.6638,-6.8523,7.3856,7.0572,511.03,38,56.66,90.06,22.74
C006,3.693,0.7019,49.79,-0.2116,-5.4554,7.8444,7.1197,469.07,34,31.47,129.37,16.7
C007,4.121,-0.6992,47.93,0.3471,-8.9933,7.1108,7.9138,492.81,36,37.43,99.38,14.46
C008,2.79,-0.2448,91.22,-0.1641,-9.6837,7.0505,6.6701,438.9,32,29.22,148.07,14.5
C009,4.312,-0.1746,71.89,-0.3308,-2.9496,7.4732,7.3408,503.58,37,59.23,57.96,15.76
C010,4.506,-0.1365,44.23,-0.1076,6.5685,7.5446,7.6706,479.36,35,57.31,68.75,21.78
C011,5.107,0.7908,41.95,0.3717,-7.3702,8.2513,8.4807,546.25,40,47.64,36.6,21.66
C012,3.35,-0.539,91.9,-0.058,-3.8489,7.0142,7.0847,484.07,36,35.42,136.0,6.1
C013,2.598,0.408,60.5,0.1822,-2.9002,7.3942,6.9109,487.95,36,29.27,162.92,17.85
C014,3.177,-1.1407,63.78,-0.2946,3.9484,6.6098,6.7527,469.54,35,40.53,124.03,8.5
C015,4.266,-1.6875,44.27,-0.6325,0.7172,6.554,7.0137,482.04,35,47.56,88.18,19.6
C016,2.576,-1.0706,47.78,0.1374,9.9601,6.5015,6.8539,461.67,34,44.4,157.51,14.04
C017,4.383,-0.7057,101.17,-0.4848,12.6375,7.1723,7.2257,507.77,37,68.39,50.24,1.19
C018,4.56,-1.0454,79.45,-0.6737,-22.3778,7.0126,7.1341,504.11,37,33.38,69.18,9.57
C019,2.553,-2.186,82.09,0.3045,-7.8062,5.8266,7.0085,448.26,33,25.64,134.74,6.06
C020,4.168,0.5754,50.56,-0.1138,5.6187,7.8873,7.4787,493.17,36,50.94,86.88,17.71
C021,5.005,0.8523,82.76,-0.2756,-5.6461,8.2626,7.7771,511.2,38,43.44,81.13,11.87
C022,5.186,1.3096,101.59,0.6039,-10.3459,8.5823,8.7564,540.27,40,45.54,44.32,4.34
C023,4.683,1.366,99.11,-0.751,-4.9782,8.4903,7.1246,514.99,38,43.89,71.2,2.98
C024,3.315,-0.484,97.18,0.376,11.1594,7.0384,7.4995,482.26,35,50.45,127.64,7.51
C101,5.0,1.55,60.0,0.1,-1.0,8.68,8.15,527.65,39,53.14,42.82,16.09
C102,2.0,0.7,55.0,0.05,0.0,7.42,6.45,442.65,33,25.43,188.6,14.97
C103,3.3,0.35,41.0,-1.55,-0.5,7.535,5.565,447.14,33,41.66,99.59,24.36
C104,2.55,2.1,55.0,0.35,20.0,8.3975,7.0525,452.88,33,49.62,164.89,16.24
C105,2.75,2.05,65.0,-0.2,0.0,8.4175,6.6125,449.78,33,38.85,132.22,14.45
C106,2.2,1.7,55.0,2.0,0.0,8.07,8.51,435.69,32,23.95,192.31,16.19
