compound_id,clogp,mw,heavy_atom_count,tpsa,papp_1e6cm_s,clint_ul_min_mg,solubility_um
C001,3.148,494.92,36,43.58,18.29,43.07,98.87
C002,4.946,526.66,39,79.83,10.09,59.68,61.41
C003,3.849,490.51,36,76.33,9.48,37.39,136.33
C004,4.856,518.62,38,60.99,13.13,50.8,48.67
C005,4.402,511.03,38,40.7,22.74,56.66,90.06
C006,3.693,469.07,34,49.79,16.7,31.47,129.37
C007,4.121,492.81,36,47.93,14.46,37.43,99.38
C008,2.79,438.9,32,91.22,14.5,29.22,148.07
C009,4.312,503.58,37,71.89,15.76,59.23,57.96
C010,4.506,479.36,35,44.23,21.78,57.31,68.75
C011,5.107,546.25,40,41.95,21.66,47.64,36.6
C012,3.35,484.07,36,91.9,6.1,35.42,136.0
C013,2.598,487.95,36,60.5,17.85,29.27,162.92
C014,3.177,469.54,35,63.78,8.5,40.53,124.03
C015,4.266,482.04,35,44.27,19.6,47.56,88.18
C016,2.576,461.67,34,47.78,14.04,44.4,157.51
C017,4.383,507.77,37,101.17,1.19,68.39,50.24
C018,4.56,504.11,37,79.45,9.57,33.38,69.18
C019,2.553,448.26,33,82.09,6.06,25.64,134.74
C020,4.168,493.17,36,50.56,17.71,50.94,86.88
C021,5.005,511.2,38,82.76,11.87,43.44,81.13
C022,5.186,540.27,40,101.59,4.34,45.54,44.32
C023,4.683,514.99,38,99.11,2.98,43.89,71.2
C024,3.315,482.26,35,97.18,7.51,50.45,127.64
C101,5.0,527.65,39,60.0,16.09,53.14,42.82
C102,2.0,442.65,33,55.0,14.97,25.43,188.6
C103,3.3,447.14,33,41.0,24.36,41.66,99.59
C104,2.55,452.88,33,55.0,16.24,49.62,164.89
C105,2.75,449.78,33,65.0,14.45,38.85,132.22
C106,2.2,435.69,32,55.0,16.19,23.95,192.31
