compound_id,clogp,mw,heavy_atom_count,tpsa,papp_1e6cm_s,clint_ul_min_mg,solubility_um
C001,2.465,458.96,34,43.58,20.48,33.85,189.96
C002,4.786,524.77,39,79.83,8.9,56.71,69.22
C003,3.37,478.0,35,76.33,7.39,38.38,121.88
C004,4.669,525.72,39,60.99,13.64,51.43,67.25
C005,4.083,479.84,35,40.7,30.88,42.87,98.23
C006,3.169,464.11,34,49.79,13.44,34.99,108.98
C007,3.721,491.76,36,47.93,18.04,38.21,100.5
C008,2.003,432.5,32,91.22,9.76,21.49,151.87
C009,3.967,483.86,36,71.89,21.78,44.0,96.95
C010,4.217,495.74,36,44.23,19.57,51.82,49.37
C011,4.993,527.92,39,41.95,19.13,51.22,79.35
C012,2.726,455.07,33,91.9,5.84,31.7,158.32
C013,1.755,433.12,32,60.5,14.68,23.02,230.31
C014,2.502,443.64,33,63.78,12.94,34.03,155.64
C015,3.908,475.61,35,44.27,18.34,45.53,74.12
C016,1.726,431.34,32,47.78,20.1,30.09,199.44
C017,4.058,483.06,36,101.17,8.26,53.78,95.87
C018,4.286,485.32,36,79.45,13.09,35.93,75.53
C019,1.697,434.16,32,82.09,9.91,19.66,184.7
C020,3.782,483.4,36,50.56,16.14,47.14,96.74
C021,4.861,510.1,38,82.76,3.98,50.96,44.66
C022,5.095,535.85,39,101.59,2.52,50.49,64.81
C023,4.446,488.09,36,99.11,1.54,47.39,78.12
C024,2.681,463.28,34,97.18,4.64,39.85,159.18
C025,3.44,463.21,34,102.76,8.4,42.26,88.3
C026,3.131,487.28,36,89.06,8.35,36.8,122.04
C027,2.361,429.53,32,78.62,12.72,33.85,151.59
C028,2.209,474.18,35,52.4,17.89,29.05,183.66
