compound_id,assay,replicate,ic50_nm,qc_flag
C001,target_ic50_nm,1,20.928,pass
C001,target_ic50_nm,2,23.995,pass
C001,target_ic50_nm,3,2.403,fail
C001,offtarget_ic50_nm,1,30.263,pass
C001,offtarget_ic50_nm,2,32.602,pass
C001,offtarget_ic50_nm,3,27.602,pass
C002,target_ic50_nm,1,10.777,pass
C002,target_ic50_nm,2,9.274,pass
C002,target_ic50_nm,3,9.616,pass
C002,offtarget_ic50_nm,1,2.216,pass
C002,offtarget_ic50_nm,2,2.656,pass
C002,offtarget_ic50_nm,3,3.183,pass
C003,target_ic50_nm,1,83.977,pass
C003,target_ic50_nm,2,74.317,pass
C003,target_ic50_nm,3,9.03,fail
C003,offtarget_ic50_nm,1,29.302,pass
C003,offtarget_ic50_nm,2,22.522,pass
C003,offtarget_ic50_nm,3,27.026,pass
C004,target_ic50_nm,1,323.714,pass
C004,target_ic50_nm,2,237.577,pass
C004,target_ic50_nm,3,223.185,pass
C004,offtarget_ic50_nm,1,2.055,pass
C004,offtarget_ic50_nm,2,1.938,pass
C004,offtarget_ic50_nm,3,2.478,pass
C005,target_ic50_nm,1,49.694,pass
C005,target_ic50_nm,2,44.01,pass
C005,target_ic50_nm,3,37.103,pass
C005,offtarget_ic50_nm,1,79.663,pass
C005,offtarget_ic50_nm,2,76.359,pass
C005,offtarget_ic50_nm,3,92.088,pass
C006,target_ic50_nm,1,15.374,pass
C006,target_ic50_nm,2,16.417,pass
C006,target_ic50_nm,3,15.679,pass
C006,offtarget_ic50_nm,1,65.732,pass
C006,offtarget_ic50_nm,2,67.159,pass
C006,offtarget_ic50_nm,3,85.495,pass
C007,target_ic50_nm,1,75.089,pass
C007,target_ic50_nm,2,80.816,pass
C007,target_ic50_nm,3,72.513,pass
C007,offtarget_ic50_nm,1,11.826,pass
C007,offtarget_ic50_nm,2,13.405,pass
C007,offtarget_ic50_nm,3,12.197,pass
C008,target_ic50_nm,1,76.556,pass
C008,target_ic50_nm,2,78.243,pass
C008,target_ic50_nm,3,79.844,pass
C008,offtarget_ic50_nm,1,217.41,pass
C008,offtarget_ic50_nm,2,236.807,pass
