compound_id,pic50_target,pic50_offtarget,selectivity_index,lle,le,developability_pass
C001,7.5462,6.6902,0.8559,5.0812,0.3107,true
C002,8.0162,7.9935,0.0226,3.2302,0.2878,false
C003,6.919,7.1525,-0.2335,3.549,0.2768,false
C004,6.345,7.8781,-1.5332,1.676,0.2278,false
C005,7.246,7.5724,-0.3264,3.163,0.2898,true
C006,7.7441,7.0642,0.6799,4.5751,0.3189,true
C007,6.9446,7.3372,-0.3926,3.2236,0.2701,true
C008,6.8842,6.4076,0.4766,4.8812,0.3012,true
C009,7.3625,7.4505,-0.088,3.3955,0.2863,true
C010,7.5136,7.6171,-0.1034,3.2966,0.2922,false
C011,8.3046,8.0388,0.2658,3.3116,0.2981,false
C012,6.7854,6.8615,-0.0761,4.0594,0.2879,false
C013,7.2604,6.3109,0.9495,5.5054,0.3176,true
C014,6.3263,6.6898,-0.3635,3.8243,0.2684,true
C015,6.3047,7.4551,-1.1504,2.3967,0.2522,false
C016,6.2618,6.2243,0.0375,4.5358,0.274,true
C017,7.0284,7.5659,-0.5375,2.9704,0.2733,false
C018,6.7755,7.6928,-0.9173,2.4895,0.2635,true
C019,5.3703,6.2418,-0.8714,3.6733,0.235,true
C020,7.8604,7.4232,0.4373,4.0784,0.3057,false
C021,8.332,8.0476,0.2844,3.471,0.307,false
C022,8.6988,8.0654,0.6333,3.6038,0.3123,false
C023,8.565,7.7779,0.7871,4.119,0.3331,false
C024,6.8297,6.8103,0.0194,4.1487,0.2812,false
C025,7.4438,7.1788,0.265,4.0038,0.3065,true
C026,6.7111,7.0053,-0.2941,3.5801,0.261,true
C027,8.1309,6.5429,1.588,5.7699,0.3557,true
C028,7.8186,6.5054,1.3132,5.6096,0.3127,true
