compound_id,pic50_target,pic50_offtarget,selectivity_index,lle,le,developability_pass
C001,7.546177,6.690241,0.855936,5.081177,0.310725,true
C002,8.016163,7.993516,0.022647,3.230163,0.287760,false
C003,6.918977,7.152507,-0.233530,3.548977,0.276759,false
C004,6.344956,7.878107,-1.533150,1.675956,0.227768,false
C005,7.245984,7.572391,-0.326407,3.162984,0.289839,true
C006,7.744065,7.064158,0.679907,4.575065,0.318873,true
C007,6.944637,7.337245,-0.392608,3.223637,0.270069,true
C008,6.884180,6.407561,0.476619,4.881180,0.301183,true
C009,7.362515,7.450482,-0.087967,3.395515,0.286320,true
C010,7.513647,7.617059,-0.103412,3.296647,0.292197,false
C011,8.304620,8.038789,0.265832,3.311620,0.298115,false
C012,6.785373,6.861523,-0.076150,4.059373,0.287864,false
C013,7.260402,6.310930,0.949472,5.505402,0.317643,true
C014,6.326317,6.689801,-0.363484,3.824317,0.268389,true
C015,6.304746,7.455148,-1.150402,2.396746,0.252190,false
C016,6.261785,6.224277,0.037507,4.535785,0.273953,true
C017,7.028387,7.565883,-0.537496,2.970387,0.273326,false
C018,6.775539,7.692790,-0.917251,2.489539,0.263493,true
C019,5.370349,6.241783,-0.871434,3.673349,0.234953,true
C020,7.860405,7.423153,0.437251,4.078405,0.305682,false
C021,8.332005,8.047573,0.284432,3.471005,0.306969,false
C022,8.698754,8.065407,0.633347,3.603754,0.312263,false
C023,8.564991,7.777870,0.787121,4.118991,0.333083,false
C024,6.829680,6.810269,0.019412,4.148680,0.281222,false
C025,7.443791,7.178791,0.265000,4.003791,0.306509,true
C026,6.711122,7.005271,-0.294150,3.580122,0.260988,true
C027,8.130908,6.542870,1.588038,5.769908,0.355727,true
C028,7.818571,6.505375,1.313196,5.609571,0.312743,true
