compound_id,pic50_target,pic50_offtarget,selectivity_index,lle,le,developability_pass
C001,7.54617704,6.69024068,0.85593636,5.08117704,0.31072494,true
C002,8.01616271,7.99351564,0.02264707,3.23016271,0.28775969,false
C003,6.91897702,7.15250690,-0.23352987,3.54897702,0.27675908,false
C004,6.34495636,7.87810665,-1.53315029,1.67595636,0.22776766,false
C005,7.24598357,7.57239093,-0.32640736,3.16298357,0.28983934,true
C006,7.74406492,7.06415825,0.67990667,4.57506492,0.31887326,true
C007,6.94463716,7.33724515,-0.39260799,3.22363716,0.27006922,true
C008,6.88417957,6.40756103,0.47661854,4.88117957,0.30118286,true
C009,7.36251459,7.45048153,-0.08796694,3.39551459,0.28632001,true
C010,7.51364724,7.61705896,-0.10341173,3.29664724,0.29219739,false
C011,8.30462045,8.03878891,0.26583154,3.31162045,0.29811458,false
C012,6.78537346,6.86152334,-0.07614987,4.05937346,0.28786433,false
C013,7.26040221,6.31092995,0.94947226,5.50540221,0.31764260,true
C014,6.32631704,6.68980113,-0.36348408,3.82431704,0.26838921,true
C015,6.30474648,7.45514832,-1.15040184,2.39674648,0.25218986,false
C016,6.26178472,6.22427724,0.03750748,4.53578472,0.27395308,true
C017,7.02838704,7.56588284,-0.53749581,2.97038704,0.27332616,false
C018,6.77553879,7.69279006,-0.91725126,2.48953879,0.26349318,true
C019,5.37034853,6.24178285,-0.87143431,3.67334853,0.23495275,true
C020,7.86040452,7.42315322,0.43725130,4.07840452,0.30568240,false
C021,8.33200506,8.04757256,0.28443249,3.47100506,0.30696861,false
C022,8.69875394,8.06540735,0.63334660,3.60375394,0.31226296,false
C023,8.56499149,7.77787024,0.78712126,4.11899149,0.33308300,false
C024,6.82968039,6.81026857,0.01941182,4.14868039,0.28122213,false
C025,7.44379136,7.17879141,0.26499996,4.00379136,0.30650906,true
C026,6.71112164,7.00527116,-0.29414952,3.58012164,0.26098806,true
C027,8.13090814,6.54287017,1.58803797,5.76990814,0.35572723,true
C028,7.81857110,6.50537476,1.31319634,5.60957110,0.31274284,true
