,sample_8,sample_4,sample_11,sample_9,sample_3,sample_2,sample_1,sample_6,sample_5,sample_12,sample_02,sample_10,sample_7
ZNF621,2065,1368,1584,689,1228,945,2023,2658,1589,1163,1741,2326,2443
TMEM739,1225,1355,1563,628,1011,2218,1264,1239,1096,849,1774,1231,957
ABCB527,660,1763,1661,1413,1175,1861,890,744,2705,838,996,843,873
SLC838,28,122,30,63,69,63,98,54,36,48,106,52,41
CYP965,28,34,38,72,24,35,32,36,11,48,20,42,12
MAP396,942,763,822,826,811,716,898,879,779,1071,915,1058,1190
RPL871,82,166,179,90,182,230,265,270,172,216,168,294,442
RPS966,44,37,40,39,24,29,37,18,43,24,7,32,14
GPR162,359,328,347,192,430,416,510,534,360,298,560,560,261
TNFR861,29,13,12,25,28,27,23,28,27,21,22,18,30
CDK221,427,561,588,1327,1145,1136,915,1054,2092,1312,1034,939,1482
MMP765,396,494,611,592,436,336,441,676,423,541,472,410,571
COL954,54,48,56,23,68,53,65,57,47,43,39,59,67
ACTB329,567,530,446,410,849,718,796,737,706,626,577,413,576
MYO872,32,25,30,24,50,28,33,42,25,33,39,32,19
HSP788,572,549,929,805,1430,678,711,592,767,578,523,417,1046
CAT133,2516,2599,1925,1335,4187,2154,2208,2019,3337,4094,2447,2774,3366
SOD341,75,35,48,88,48,52,44,38,42,41,60,82,43
NOS356,1571,904,1567,1236,1724,1536,1464,1557,1281,1176,1752,763,1153
PTP764,20,17,40,24,19,16,15,9,76,11,11,13,11
PDE645,156,86,127,131,132,124,157,111,129,108,116,120,164
ADRB766,1535,4354,5888,6001,4630,3927,2787,1875,4164,3387,2856,4523,3328
HTR49,1797,4179,3063,1165,1790,1875,2426,3778,2533,1610,1602,1166,1811
DRD952,1601,1021,953,1551,1511,1751,3923,1281,1329,1103,1632,1299,1866
GRIN203,24,88,66,81,50,14,109,31,88,27,44,139,24
CACNA39,2168,2929,2244,1201,2195,2293,1376,2377,1921,3086,1804,3917,2204
SCN961,722,2100,1132,540,1280,1089,1109,787,1180,856,860,467,1382
KCNH857,47,59,42,32,51,42,69,55,51,74,45,110,41
ATP800,224,182,240,232,299,418,377,230,376,167,639,57,358
NDUF750,264,306,88,327,229,206,290,385,157,249,189,224,171
COX804,1853,2230,2162,824,2002,2924,1154,1026,3318,1857,1723,1675,1558
UQCR781,365,460,482,383,337,388,352,472,550,530,404,438,333
TUBB812,312,539,383,307,243,519,500,290,391,264,315,425,406
RAB544,520,700,973,680,958,829,1512,1167,883,863,610,935,1040
ARF806,43,51,32,35,33,37,44,22,40,39,23,102,63
SEC162,37,60,27,12,50,64,20,33,53,55,26,24,31
VPS661,118,307,147,376,165,175,229,282,104,222,199,275,148
USP104,461,502,460,377,199,523,401,492,576,340,429,414,1023
RNF158,647,623,2781,542,2253,295,361,520,904,584,690,583,821
DDX109,66,123,73,106,113,60,113,63,68,106,177,81,148
EIF692,102,124,64,37,99,121,58,84,51,57,119,69,90
PSMB556,71,93,41,57,142,76,68,88,60,93,122,58,90
DECOY_A,1513,295,1030,1210,499,399,444,323,126,1669,1856,1257,2008
HLA97,472,440,591,554,520,412,1247,837,474,581,723,448,483
IFIT20,37,9,53,35,46,36,23,50,40,57,67,34,27
OAS957,98,228,162,191,115,133,76,179,115,153,238,145,262
IRF844,1950,2684,1723,1987,2305,3187,2500,1980,1786,2486,1693,2404,1433
STAT772,350,235,251,311,371,271,453,480,235,284,362,131,137
SMAD113,93,99,52,49,131,100,68,76,112,30,158,59,79
FOX709,109,229,130,224,248,172,215,178,462,155,150,217,107
SOX564,15,23,35,54,66,24,41,30,21,23,36,27,32
KLF20,1801,1089,1176,1376,2279,1648,1032,1784,1394,1256,1073,1481,1449
GATA502,389,262,213,274,193,222,175,363,353,181,266,576,433
NFAT166,662,873,1043,663,909,1116,743,635,405,906,679,859,1105
BCL781,100,99,85,54,75,49,53,64,113,41,95,56,113
CASP379,85,87,120,81,145,124,76,145,114,114,120,156,155
ZNF956,244,413,589,213,325,504,417,176,177,284,153,180,237
TMEM989,20,21,29,59,80,69,78,71,75,102,98,103,40
ABCB740,179,156,137,87,180,259,283,152,164,151,323,190,130
SLC233,3669,2403,3605,2991,2724,1906,2233,1922,2203,1922,5030,3919,1870
CYP302,300,624,284,418,500,237,573,397,390,297,283,415,681
MAP837,374,641,585,583,390,407,376,249,420,412,539,360,953
RPL98,22,22,39,40,74,8,31,19,42,12,52,31,58
RPS267,777,1403,1083,1297,937,1103,1439,1094,1414,2042,1756,1667,868
GPR822,138,132,123,134,105,158,178,125,117,110,162,112,108
TNFR755,1069,621,747,538,371,474,714,625,401,678,410,538,315
CDK592,221,193,180,140,131,271,459,313,109,231,131,181,167
MMP835,73,51,61,47,31,56,61,81,109,37,67,37,60
COL991,133,142,217,104,204,141,75,129,186,45,252,141,229
ACTB68,328,767,423,1095,485,682,485,286,572,275,692,751,627
MYO742,58,105,90,72,94,138,48,51,168,123,139,62,25
HSP793,233,163,130,265,194,230,248,87,244,171,240,470,131
CAT966,35,35,51,50,26,49,30,35,101,94,57,30,51
SOD492,2134,2914,2054,1938,3275,2178,2029,2476,1674,1391,2201,2758,1776
NOS689,28,24,24,32,78,18,36,36,42,14,18,37,42
PTP144,607,789,681,578,736,393,885,259,659,595,975,362,645
PDE543,167,264,150,278,341,183,299,169,110,117,196,217,522
ADRB645,24,31,61,63,38,38,57,30,35,53,38,40,33
HTR493,25,36,18,15,7,20,24,15,31,36,33,17,10
DRD214,653,613,316,310,490,568,743,726,724,632,775,684,749
GRIN420,115,243,207,127,170,170,159,269,212,135,152,218,227
CACNA539,1849,1419,1272,1197,2466,1311,1816,2784,2320,1199,2397,1576,1444
SCN935,566,442,568,291,523,492,440,845,787,352,774,480,441
KCNH867,1520,1120,1308,1348,2776,1658,2726,1690,1152,1341,2400,773,2392
ATP848,69,59,58,35,51,47,80,77,40,49,68,36,48
NDUF511,702,1180,536,1060,1021,938,1182,1347,821,910,309,893,772
COX996,33,62,58,45,74,29,43,71,35,29,42,38,28
UQCR372,115,108,146,145,148,97,129,151,141,82,188,255,79
TUBB478,196,91,128,149,92,107,118,117,65,63,98,90,70
RAB317,178,196,234,140,347,184,390,166,119,330,139,342,152
ARF133,138,286,256,474,579,269,559,319,414,286,512,379,393
SEC563,1463,3114,2712,2413,2754,2331,3057,3096,1630,3234,1653,2201,3727
VPS613,435,504,557,350,592,384,324,390,331,241,375,443,273
USP530,38,54,91,35,113,40,100,56,93,76,78,69,67
RNF691,742,698,597,533,1271,516,654,779,507,614,732,743,906
