sample_id,condition,cohort,qc_pass
sample_1,control,cohort1,True
sample_2,control,cohort1,True
sample_3,control,cohort1,True
sample_4,control,cohort1,True
sample_5,control,cohort1,True
sample_6,control,cohort1,True
sample_7,treated,cohort1,True
sample_8,treated,cohort1,True
sample_9,treated,cohort1,True
sample_10,treated,cohort1,True
sample_11,treated,cohort1,True
sample_12,treated,cohort1,True
sample_13,control,cohort2,True
sample_14,control,cohort2,True
sample_15,control,cohort2,True
sample_16,control,cohort2,True
sample_17,control,cohort2,True
sample_18,control,cohort2,True
sample_19,treated,cohort2,True
sample_20,treated,cohort2,True
sample_21,treated,cohort2,True
sample_22,treated,cohort2,True
sample_23,treated,cohort2,True
sample_24,treated,cohort2,True
