,sample_3,sample_24,sample_8,sample_22,sample_6,sample_15,sample_9,sample_14,sample_23,sample_4,sample_13,sample_20,sample_18,sample_16,sample_19,sample_2,sample_1,sample_21,sample_17,sample_5,sample_11,sample_10,sample_12,sample_7
ZNF621,1228,2075,2065,1213,2658,787,689,3024,604,1368,1422,2207,1262,1109,1424,945,2023,5521,4040,1589,1584,2326,1163,2443
TMEM739,1011,4020,1225,1865,1239,1484,628,3648,894,1355,1870,1232,2552,383,1184,2218,1264,926,11394,1096,1563,1231,849,957
ABCB527,1175,280,660,1036,744,1161,1413,784,839,1763,728,299,1462,977,2355,1861,890,1353,436,2705,1661,843,838,873
SLC838,69,44,28,48,54,152,63,76,13,122,158,13,186,30,69,63,98,84,31,36,30,52,48,41
CYP965,24,9,28,53,36,14,72,11,179,34,12,31,25,14,21,35,32,74,4,11,38,42,48,12
MAP396,811,418,942,406,879,216,826,587,874,763,740,1082,2532,1352,1810,716,898,2647,740,779,822,1058,1071,1190
RPL871,182,888,82,119,270,90,90,445,156,166,120,163,1292,168,319,230,265,179,140,172,179,294,216,442
RPS966,24,12,44,17,18,83,39,15,60,37,2,12,24,23,64,29,37,16,39,43,40,32,24,14
GPR162,430,624,359,318,534,591,192,183,704,328,636,489,516,713,1085,416,510,535,377,360,347,560,298,261
TNFR861,28,39,29,37,28,13,25,39,27,13,27,30,46,7,18,27,23,9,17,27,12,18,21,30
CDK221,1145,617,427,2379,1054,507,1327,1485,1094,561,838,185,1212,5860,1125,1136,915,311,4446,2092,588,939,1312,1482
MMP765,436,154,396,290,676,131,592,731,289,494,351,843,610,619,562,336,441,674,589,423,611,410,541,571
COL954,68,18,54,37,57,30,23,41,114,48,24,105,28,61,22,53,65,63,66,47,56,59,43,67
ACTB329,849,245,567,302,737,328,410,601,527,530,471,597,1021,3735,416,718,796,126,299,706,446,413,626,576
MYO872,50,28,32,23,42,19,24,4,29,25,29,19,57,17,42,28,33,67,52,25,30,32,33,19
HSP788,1430,540,572,216,592,316,805,949,245,549,372,932,394,1054,424,678,711,354,1084,767,929,417,578,1046
CAT133,4187,5393,2516,3861,2019,1656,1335,3474,6923,2599,1458,6319,3081,3724,8003,2154,2208,1535,1999,3337,1925,2774,4094,3366
SOD341,48,255,75,163,38,127,88,36,37,35,46,23,53,52,93,52,44,78,35,42,48,82,41,43
NOS356,1724,733,1571,2700,1557,959,1236,620,4427,904,1975,291,3313,1373,1168,1536,1464,2284,4151,1281,1567,763,1176,1153
PTP764,19,110,20,48,9,58,24,27,17,17,0,58,15,54,38,16,15,27,46,76,40,13,11,11
PDE645,132,220,156,55,111,80,131,395,193,86,70,193,34,185,40,124,157,164,58,129,127,120,108,164
ADRB766,4630,656,1535,1617,1875,990,6001,4290,4882,4354,2236,6124,835,2706,8542,3927,2787,13105,1929,4164,5888,4523,3387,3328
HTR49,1790,3390,1797,726,3778,3326,1165,10593,1674,4179,647,2797,2930,1109,4244,1875,2426,2097,5313,2533,3063,1166,1610,1811
DRD952,1511,1513,1601,1773,1281,1786,1551,630,1052,1021,1430,791,1220,2075,1505,1751,3923,820,1206,1329,953,1299,1103,1866
GRIN203,50,43,24,119,31,54,81,58,14,88,30,33,26,73,51,14,109,157,64,88,66,139,27,24
CACNA39,2195,3719,2168,1937,2377,2027,1201,1951,3102,2929,978,1416,3011,1588,4386,2293,1376,2385,827,1921,2244,3917,3086,2204
SCN961,1280,291,722,1048,787,687,540,1506,4179,2100,653,785,8194,520,792,1089,1109,2586,369,1180,1132,467,856,1382
KCNH857,51,42,47,59,55,40,32,30,123,59,28,24,43,63,108,42,69,9,22,51,42,110,74,41
ATP800,299,625,224,172,230,823,232,1573,1587,182,1008,224,338,240,259,418,377,120,395,376,240,57,167,358
NDUF750,229,282,264,157,385,430,327,314,530,306,113,92,118,133,226,206,290,184,153,157,88,224,249,171
COX804,2002,2790,1853,18994,1026,1091,824,532,3954,2230,1349,922,2165,913,5942,2924,1154,4787,1669,3318,2162,1675,1857,1558
UQCR781,337,611,365,276,472,251,383,234,235,460,282,709,541,1005,368,388,352,1074,483,550,482,438,530,333
TUBB812,243,335,312,560,290,492,307,765,889,539,159,851,492,210,562,519,500,450,539,391,383,425,264,406
RAB544,958,507,520,300,1167,837,680,368,242,700,250,342,854,665,898,829,1512,2299,1739,883,973,935,863,1040
ARF806,33,48,43,22,22,5,35,47,31,51,10,22,32,6,129,37,44,126,32,40,32,102,39,63
SEC162,50,105,37,25,33,27,12,16,58,60,16,49,110,69,19,64,20,30,41,53,27,24,55,31
VPS661,165,82,118,159,282,100,376,188,326,307,156,153,73,507,129,175,229,80,68,104,147,275,222,148
USP104,199,1353,461,701,492,781,377,1353,412,502,372,342,297,261,1024,523,401,618,536,576,460,414,340,1023
RNF158,2253,337,647,571,520,468,542,7411,164,623,445,936,94,664,1621,295,361,529,533,904,2781,583,584,821
DDX109,113,165,66,97,63,373,106,253,130,123,287,50,100,29,125,60,113,99,119,68,73,81,106,148
EIF692,99,161,102,125,84,43,37,56,198,124,148,68,334,83,68,121,58,211,76,51,64,69,57,90
PSMB556,142,114,71,58,88,121,57,25,14,93,212,57,81,84,48,76,68,104,97,60,41,58,93,90
PSMD475,369,977,2021,1313,469,105,2440,584,3129,204,357,2959,503,211,2670,475,273,894,955,388,752,1445,890,2362
