gene_id,modules
GENE_001,ACTIN_REMODELING
GENE_003,DISEASE_SIGNALING_B
GENE_004,TRANSLATION
GENE_005,ACTIN_REMODELING
GENE_007,ACTIN_REMODELING
GENE_008,METABOLIC_ADAPTATION
GENE_009,DISEASE_SIGNALING_B
GENE_010,CELL_CYCLE
GENE_011,DISEASE_STATE_C
GENE_013,MAPK_SIGNALING
GENE_014,MAPK_SIGNALING
GENE_015,ACTIN_REMODELING
GENE_017,CELL_CYCLE
GENE_018,TRANSLATION
GENE_019,METABOLIC_ADAPTATION
GENE_020,DISEASE_SIGNALING_A
GENE_021,MAPK_SIGNALING
GENE_022,DISEASE_SIGNALING_A
GENE_023,INTERFERON_RESPONSE
GENE_024,DISEASE_ADAPTATION_D
GENE_025,MAPK_SIGNALING
GENE_026,DISEASE_STATE_C
GENE_027,OXIDATIVE_STRESS
GENE_028,INTERFERON_RESPONSE
GENE_029,METABOLIC_ADAPTATION
GENE_030,DISEASE_SIGNALING_B
GENE_031,DISEASE_SIGNALING_A
GENE_032,MAPK_SIGNALING
GENE_033,METABOLIC_ADAPTATION
GENE_034,MAPK_SIGNALING
GENE_035,DISEASE_SIGNALING_A
GENE_037,METABOLIC_ADAPTATION
GENE_038,ACTIN_REMODELING
GENE_039,DISEASE_ADAPTATION_D
GENE_040,TRANSLATION
GENE_041,DISEASE_SIGNALING_A
GENE_042,OXIDATIVE_STRESS
GENE_043,TRANSLATION
GENE_044,MAPK_SIGNALING
GENE_045,DISEASE_STATE_C
GENE_047,DISEASE_SIGNALING_B
GENE_048,TRANSLATION
GENE_049,INTERFERON_RESPONSE
GENE_050,INTERFERON_RESPONSE
GENE_051,DNA_DAMAGE
GENE_052,DISEASE_SIGNALING_A
GENE_053,INTERFERON_RESPONSE
GENE_054,CELL_CYCLE
GENE_055,DISEASE_SIGNALING_A
GENE_056,DISEASE_SIGNALING_B
GENE_057,MAPK_SIGNALING
GENE_058,DISEASE_SIGNALING_B
GENE_059,MAPK_SIGNALING
GENE_060,MAPK_SIGNALING
GENE_061,DNA_DAMAGE|TRANSLATION
GENE_063,DISEASE_STATE_C
GENE_064,TRANSLATION
GENE_065,DISEASE_SIGNALING_A
GENE_066,DISEASE_SIGNALING_B
GENE_067,DISEASE_SIGNALING_A
GENE_068,TRANSLATION
GENE_069,DISEASE_SIGNALING_B
GENE_070,DNA_DAMAGE
GENE_071,DNA_DAMAGE
GENE_072,TRANSLATION
GENE_073,MAPK_SIGNALING
GENE_074,DISEASE_STATE_C
GENE_075,DNA_DAMAGE
GENE_076,INTERFERON_RESPONSE
GENE_077,DNA_DAMAGE
GENE_078,MAPK_SIGNALING
GENE_079,METABOLIC_ADAPTATION
GENE_081,INTERFERON_RESPONSE
GENE_082,DISEASE_STATE_C
GENE_083,CELL_CYCLE
GENE_084,MAPK_SIGNALING
GENE_085,INTERFERON_RESPONSE
GENE_086,DISEASE_STATE_C
GENE_087,MAPK_SIGNALING
GENE_088,METABOLIC_ADAPTATION
GENE_089,DISEASE_SIGNALING_B
GENE_090,DISEASE_SIGNALING_A
GENE_091,MAPK_SIGNALING
GENE_092,ACTIN_REMODELING
GENE_093,DISEASE_ADAPTATION_D
GENE_094,DISEASE_SIGNALING_B
GENE_095,TRANSLATION
GENE_097,INTERFERON_RESPONSE
GENE_098,DNA_DAMAGE
GENE_099,DISEASE_STATE_C
GENE_100,DISEASE_STATE_C
GENE_101,DISEASE_STATE_C
GENE_102,DISEASE_SIGNALING_B
GENE_103,ACTIN_REMODELING
GENE_104,DNA_DAMAGE
GENE_105,DISEASE_SIGNALING_A
GENE_106,METABOLIC_ADAPTATION
GENE_107,ACTIN_REMODELING
GENE_108,MAPK_SIGNALING
GENE_109,CELL_CYCLE
GENE_110,ACTIN_REMODELING
GENE_111,TRANSLATION
GENE_112,DISEASE_ADAPTATION_D
GENE_114,DISEASE_SIGNALING_A
GENE_115,OXIDATIVE_STRESS
GENE_116,DISEASE_SIGNALING_A
GENE_117,ACTIN_REMODELING
GENE_118,INTERFERON_RESPONSE
GENE_120,TRANSLATION
GENE_121,MAPK_SIGNALING
GENE_122,DISEASE_SIGNALING_B
GENE_123,TRANSLATION
GENE_124,DISEASE_SIGNALING_A
GENE_127,OXIDATIVE_STRESS
GENE_128,METABOLIC_ADAPTATION
GENE_129,METABOLIC_ADAPTATION
GENE_130,INTERFERON_RESPONSE
GENE_131,DNA_DAMAGE
GENE_132,MAPK_SIGNALING
GENE_133,TRANSLATION
GENE_134,MAPK_SIGNALING
GENE_135,TRANSLATION
GENE_137,MAPK_SIGNALING
GENE_138,DISEASE_ADAPTATION_D
GENE_139,OXIDATIVE_STRESS
GENE_140,INTERFERON_RESPONSE
GENE_141,DNA_DAMAGE
GENE_142,INTERFERON_RESPONSE
GENE_143,DISEASE_SIGNALING_A
GENE_144,TRANSLATION
